Opponent,Min,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Team score,Opponent score,date,Season,Lose,Win,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,HOU,LAC,LAL,OKC,WAS,Playoff,Regular
MIL,22.0,4.0,9.0,44.4,1.0,2.0,50.0,4.0,6.0,66.7,4.0,0.0,4.0,4.0,0.0,1.0,2.0,2.0,13.0,5.0,2008,87,98,2008-10-29,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
HOU,19.0,2.0,7.0,28.6,0.0,1.0,0.0,2.0,2.0,100.0,0.0,2.0,2.0,3.0,1.0,0.0,2.0,2.0,6.0,-19.0,2008,77,89,2008-11-01,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
MIN,25.0,6.0,13.0,46.2,0.0,1.0,0.0,2.0,3.0,66.7,1.0,0.0,1.0,2.0,2.0,0.0,3.0,1.0,14.0,7.0,2008,88,85,2008-11-02,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
BOS,19.0,4.0,13.0,30.8,3.0,5.0,60.0,2.0,2.0,100.0,3.0,2.0,5.0,1.0,1.0,0.0,2.0,3.0,13.0,-3.0,2008,83,96,2008-11-05,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
UTA,17.0,1.0,8.0,12.5,0.0,0.0,0.0,4.0,4.0,100.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,6.0,-5.0,2008,97,104,2008-11-07,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
ATL,25.0,6.0,14.0,42.9,0.0,2.0,0.0,3.0,3.0,100.0,1.0,0.0,1.0,2.0,2.0,0.0,3.0,0.0,15.0,7.0,2008,85,89,2008-11-09,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
IND,26.0,1.0,10.0,10.0,1.0,3.0,33.3,3.0,4.0,75.0,0.0,2.0,2.0,4.0,2.0,1.0,3.0,4.0,6.0,6.0,2008,99,107,2008-11-10,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
ORL,30.0,3.0,19.0,15.8,0.0,2.0,0.0,7.0,8.0,87.5,5.0,0.0,5.0,4.0,0.0,1.0,3.0,3.0,13.0,-9.0,2008,92,109,2008-11-12,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
NYK,28.0,6.0,12.0,50.0,1.0,4.0,25.0,6.0,7.0,85.7,5.0,5.0,10.0,6.0,1.0,1.0,3.0,5.0,19.0,1.0,2008,106,116,2008-11-14,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
PHI,24.0,3.0,12.0,25.0,0.0,0.0,0.0,7.0,8.0,87.5,1.0,0.0,1.0,4.0,1.0,1.0,2.0,4.0,13.0,3.0,2008,85,110,2008-11-15,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
HOU,28.0,5.0,14.0,35.7,0.0,3.0,0.0,4.0,6.0,66.7,1.0,1.0,2.0,2.0,5.0,0.0,3.0,3.0,14.0,2.0,2008,89,100,2008-11-17,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
LAC,30.0,4.0,11.0,36.4,0.0,0.0,0.0,2.0,2.0,100.0,1.0,4.0,5.0,4.0,1.0,0.0,3.0,1.0,10.0,4.0,2008,88,108,2008-11-19,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
