Date,Team,Versus,Opponent,Score,Min,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,+/-,Year
Wed4/15,OKC,@,LAC,W126-85,30,5,11,45.5,0,2,0.0,4,4,100.0,2,3,5,7,0,0,2,2,14,+23,2009.0
Mon4/13,OKC,@,POR,L83-113,39,4,16,25.0,1,4,25.0,6,8,75.0,1,2,3,7,3,0,2,1,15,-24,2009.0
Sat4/11,OKC,@,MIL,L98-115,26,4,12,33.3,1,1,100.0,4,4,100.0,3,4,7,6,0,0,1,1,13,-12,2009.0
Fri4/10,OKC,vs,CHA,W84-81,37,3,9,33.3,0,0,,4,4,100.0,4,2,6,11,1,0,9,2,10,+1,2009.0
Wed4/8,OKC,@,DEN,L112-122,33,6,13,46.2,0,2,0.0,2,3,66.7,2,4,6,11,1,0,5,4,14,-7,2009.0
Tue4/7,OKC,vs,SAS,L89-99,31,3,10,30.0,0,0,,4,6,66.7,3,2,5,6,3,1,4,3,10,-9,2009.0
Sun4/5,OKC,vs,IND,L99-117,24,4,9,44.4,0,1,0.0,3,6,50.0,4,3,7,4,3,0,2,2,11,-15,2009.0
Fri4/3,OKC,vs,POR,L72-107,28,1,8,12.5,0,1,0.0,6,8,75.0,2,6,8,4,1,1,1,0,8,-24,2009.0
Average,,,,,30.9,3.8,11.0,34.1,0.3,1.4,18.2,4.1,5.4,76.7,2.6,3.3,5.9,7.0,1.5,0.3,3.3,1.9,11.9,-8.4,2009.0
Tue3/31,OKC,@,SAS,W96-95,38,6,15,40.0,0,1,0.0,4,6,66.7,2,1,3,10,2,0,2,1,16,+1,2009.0
Sun3/29,OKC,@,BOS,L84-103,39,8,18,44.4,0,1,0.0,7,8,87.5,2,0,2,2,1,0,2,3,23,-14,2009.0
Fri3/27,OKC,@,TOR,L96-112,26,5,11,45.5,0,1,0.0,0,1,0.0,3,0,3,5,0,0,4,1,10,-11,2009.0
