Date,Team,Versus,Opponent,Score,Min,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,+/-
Tue4/5,LAL,@,PHX,L110-121,34,10,20,50.0,2,3,66.7,6,8,75.0,1,4,5,3,0,0,6,2,28,-9
Sun4/3,LAL,vs,DEN,L118-129,34,11,15,73.3,0,1,0.0,5,10,50.0,2,8,10,7,2,1,2,5,27,+1
Fri4/1,LAL,vs,NOP,L111-114,31,5,15,33.3,2,4,50.0,0,0,,2,2,4,5,0,0,1,6,12,-12
Average,,,,,32.9,8.7,16.7,52.0,1.3,2.7,50.0,3.7,6.0,61.1,1.7,4.7,6.3,5.0,0.7,0.3,3.0,4.3,22.3,-6.7
Thu3/31,LAL,@,UTA,L109-122,34,9,18,50.0,0,2,0.0,6,10,60.0,1,5,6,7,0,0,3,2,24,-17
Tue3/29,LAL,@,DAL,L110-128,32,9,17,52.9,1,5,20.0,6,6,100.0,0,8,8,6,0,0,2,3,25,-25
Sun3/27,LAL,@,NOP,L108-116,32,8,15,53.3,2,5,40.0,0,0,,3,4,7,6,1,0,3,2,18,-18
Wed3/23,LAL,vs,PHI,L121-126,33,10,20,50.0,2,5,40.0,2,5,40.0,2,7,9,8,1,0,7,2,24,-12
Mon3/21,LAL,@,CLE,W131-120,35,7,14,50.0,2,6,33.3,4,7,57.1,0,5,5,11,1,0,1,4,20,+23
Sat3/19,LAL,@,WAS,L119-127,37,10,15,66.7,2,3,66.7,0,0,,2,8,10,8,1,1,5,3,22,-1
Fri3/18,LAL,@,TOR,W128-123,41,8,18,44.4,4,7,57.1,2,2,100.0,1,9,10,10,1,0,4,2,22,+7
Wed3/16,LAL,@,MIN,L104-124,36,5,12,41.7,1,4,25.0,4,6,66.7,2,2,4,5,2,0,3,3,15,-1
Mon3/14,LAL,vs,TOR,L103-114,35,4,10,40.0,0,1,0.0,6,7,85.7,2,6,8,4,1,0,1,2,14,+4
Sun3/13,LAL,@,PHX,L111-140,29,5,10,50.0,0,2,0.0,3,4,75.0,1,1,2,2,0,0,4,1,13,-6
